rank,name,industry,location,year_founded,career_url
193,SafetyWing,Finance,"San Francisco, California",2017,https://safetywing.com/careers
194,Panorays,Security,"New York, New York",2016,https://www.panorays.com/careers/
195,RentSpree,Real Estate,"Seattle, Washington",2016,https://www.rentspree.com/careers
196,Flex (New York),Finance,"New York, New York",2019,https://getflex.com/careers/
197,OpenSea,Business Products & Software Services,"New York, New York",2017,https://opensea.io/careers
198,Torq,Security,"New York, New York",2020,https://torq.io/careers/
199,JobGet,Professional Services,"Boston, Massachusetts",2019,https://jobget.com/careers
200,Owkin,Technology,"New York, New York",2016,https://www.owkin.com/careers
201,Attentive,Advertising & Marketing,"New York, New York",2016,https://www.attentivemobile.com/careers
202,Galileo,Healthcare,"New York, New York",2018,https://www.galileo.io/careers
203,Revel,Transportation & Logistics,"Brooklyn, New York",2018,https://reveliot.com/careers/
204,Forethought,Technology,"San Francisco, California",2017,https://forethought.ai/careers/
205,Hypersonix,Technology,"San Francisco, California",2018,https://hypersonix.ai/careers/
206,Hone,Education & EdTech,"Encinitas, California",2018,https://honehq.com/careers/
207,Legion Technologies,Business Products & Software Services,"Redwood City, California",2016,https://legiontech.com/careers/
208,Sourcepass,Business Products & Software Services,"Melville, New York",2021,https://www.sourcepass.com/careers
209,Cityblock Health,Healthcare,"Brooklyn, New York",2017,https://www.cityblock.com/careers
210,Wrapbook,Business Products & Software Services,"New York, New York",2018,https://www.wrapbook.com/careers
211,LoanPro,Finance,"Farmington, Utah",2016,https://loanpro.io/careers/
212,Persefoni,Business Products & Software Services,"Mesa, Arizona",2020,https://persefoni.com/careers/
213,Dragos,Security,"Hanover, New Hampshire",2016,https://www.dragos.com/company/careers/
214,Notable,Healthcare,"San Mateo, California",2017,https://www.notable.health/careers
215,Trainual,Business Products & Software Services,"Tempe, Arizona",2018,https://trainual.com/careers
216,Flutterwave,Finance,"San Francisco , California",2016,https://flutterwave.com/us/careers
217,Nao Now,Education & EdTech,"Dallas, Texas",2021,https://naonow.com/careers
218,Upside,Advertising & Marketing,"Washington, District of Columbia",2016,https://upside.com/careers
219,Infrrd,Business Products & Software Services,"San Jose, California",2017,https://infrrd.ai/careers/
220,Electric Hydrogen,Energy & Resources,"Devens, Massachusetts",2020,https://www.electrichydrogen.com/careers/
221,MacroHealth,Healthcare,"Kirkland, Washington",2017,https://macrohealth.com/careers/
222,Unit,Finance,"New York, New York",2019,https://www.unit.co/careers
223,Torch,Education & EdTech,"San Francisco, California",2017,https://torch.io/careers/
224,Osano,Security,"Austin, Texas",2018,https://www.osano.com/careers
225,Sibros,Technology,"San Jose, California",2018,https://sibros.tech/careers/
226,Extend Enterprises,Finance,"New York, New York",2017,https://www.extend.com/careers
227,MoonPay,Finance,"New York, New York",2019,https://www.moonpay.com/careers
228,Hometap,Finance,"Boston, Massachusetts",2017,https://www.hometap.com/careers
229,Vic.ai,Business Products & Software Services,"New York, New York",2017,https://www.vic.ai/careers
230,Kojo,Business Products & Software Services,"San Francisco, California",2018,https://www.usekojo.com/careers
231,Coterie Insurance,Finance,"Appleton, Wisconsin",2018,https://coterieinsurance.com/careers/
232,Lokalise,Business Products & Software Services,"Dover, Delaware",2017,https://lokalise.com/careers
233,Lead Bank,Finance,"Kansas City, Missouri",2019,https://leadbank.com/careers
234,Bilt,Finance,"New York, New York",2021,https://www.biltrewards.com/careers
235,OneTrust,Security,"Atlanta, Georgia",2016,https://www.onetrust.com/careers/
236,RNWBL,Energy & Resources,"Houston, Texas",2021,https://www.rnwbl.com/careers
237,Observe.AI,Technology,"Redwood City, California",2017,https://www.observe.ai/careers
238,Tapcheck,Finance,"Plano, Texas",2019,https://tapcheck.com/careers/
